City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
412,Kharela,25.55,79.8167,49.15,73,5,3.53,IN,2022-01-26 01:46:53
413,Union,40.6334,-74.2663,34.95,63,0,3.44,US,2022-01-26 01:42:09
414,Pontianak,-0.0333,109.3333,80.58,83,20,4.61,ID,2022-01-26 01:46:53
415,Nome,64.5011,-165.4064,-7.53,84,20,0.0,US,2022-01-26 01:46:54
416,Pevek,69.7008,170.3133,-34.11,100,77,3.58,RU,2022-01-26 01:46:54
417,Weinan,34.5036,109.5089,35.29,73,100,7.14,CN,2022-01-26 01:46:55
418,Aklavik,68.2191,-135.0107,20.12,87,92,22.21,CA,2022-01-26 01:46:55
419,Sembabule,-0.0772,31.4567,62.35,71,82,4.32,UG,2022-01-26 01:46:55
420,Bemidji,47.4736,-94.8803,-13.23,76,0,4.61,US,2022-01-26 01:46:33
421,Wattegama,6.7989,81.4808,63.52,84,93,3.06,LK,2022-01-26 01:46:56
422,Zaqatala,41.6336,46.6433,36.07,93,100,4.61,AZ,2022-01-26 01:46:56
423,Estancia,-11.2683,-37.4383,80.08,86,40,5.97,BR,2022-01-26 01:45:01
424,Santa Rosa,14.3122,121.1114,82.09,76,100,11.34,PH,2022-01-26 01:45:31
425,Owase,34.0667,136.2,53.82,49,37,1.23,JP,2022-01-26 01:46:57
426,Sawtell,-30.3833,153.1,73.72,92,100,4.47,AU,2022-01-26 01:46:58
427,Obo,5.3998,26.4869,70.75,26,85,5.39,CF,2022-01-26 01:46:58
428,La Palma,33.8464,-118.0467,67.51,73,20,1.01,US,2022-01-26 01:46:58
429,Orlik,52.5178,99.825,-13.29,94,100,2.51,RU,2022-01-26 01:46:59
430,Shahrud,36.4182,54.9763,31.35,39,68,3.6,IR,2022-01-26 01:46:59
431,Belaya Gora,68.5333,146.4167,-35.25,100,91,3.58,RU,2022-01-26 01:47:00
432,La Reforma,25.0833,-108.05,70.09,67,24,4.5,MX,2022-01-26 01:47:00
433,Acapulco,16.8634,-99.8901,77.02,67,0,6.91,MX,2022-01-26 01:43:27
434,Tambun,-6.2641,107.0712,85.48,89,40,5.75,ID,2022-01-26 01:47:01
435,Bambanglipuro,-7.95,110.2833,83.5,74,100,6.31,ID,2022-01-26 01:47:01
436,Aasiaat,68.7098,-52.8699,2.53,86,100,14.41,GL,2022-01-26 01:47:02
437,Cotonou,6.3654,2.4183,75.18,88,5,4.61,BJ,2022-01-26 01:47:02
438,Tanabe,33.7333,135.3667,52.81,50,40,10.36,JP,2022-01-26 01:47:03
439,Kovur,14.4833,79.9833,72.55,83,80,1.12,IN,2022-01-26 01:47:03
440,Adrian,41.8975,-84.0372,19.42,67,100,6.91,US,2022-01-26 01:47:03
441,Anadyr,64.75,177.4833,-16.1,76,0,0.0,RU,2022-01-26 01:47:04
442,Te Anau,-45.4167,167.7167,62.73,55,56,7.36,NZ,2022-01-26 01:47:04
443,Sorland,67.667,12.6934,37.15,97,100,28.99,NO,2022-01-26 01:47:05
444,Labytnangi,66.6572,66.4183,2.7,98,100,4.38,RU,2022-01-26 01:47:05
445,Nelson Bay,-32.7167,152.15,80.1,58,90,3.0,AU,2022-01-26 01:47:05
446,Big Rapids,43.6981,-85.4837,11.91,80,100,3.44,US,2022-01-26 01:47:06
447,La Seyne-Sur-Mer,43.0982,5.8847,37.87,65,0,10.22,FR,2022-01-26 01:47:06
448,Pingliang,35.5392,106.6861,28.4,90,100,4.09,CN,2022-01-26 01:47:06
449,Cururupu,-1.8283,-44.8683,75.83,89,80,3.31,BR,2022-01-26 01:47:07
450,Kisanga,-7.4362,37.7034,73.51,89,98,3.13,TZ,2022-01-26 01:47:07
451,The Valley,18.217,-63.0578,77.09,73,45,18.68,AI,2022-01-26 01:47:08
452,Doha,25.2867,51.5333,58.98,79,0,1.14,QA,2022-01-26 01:47:08
453,Darhan,49.4867,105.9228,-7.15,95,13,4.81,MN,2022-01-26 01:48:09
454,Takoradi,4.8845,-1.7554,77.23,86,5,3.24,GH,2022-01-26 01:48:09
455,Hearst,49.6835,-83.6665,-27.15,100,60,3.83,CA,2022-01-26 01:48:10
456,Faya,18.3851,42.4509,51.91,84,18,2.66,SA,2022-01-26 01:48:10
457,Matagami,49.7502,-77.6328,-21.89,76,0,5.75,CA,2022-01-26 01:47:35
458,Byron Bay,-28.65,153.6167,78.91,83,99,5.39,AU,2022-01-26 01:48:11
459,Irondequoit,43.2134,-77.5797,19.76,80,100,4.0,US,2022-01-26 01:44:02
460,Dogondoutchi,13.6393,4.0287,62.67,15,0,14.99,NE,2022-01-26 01:48:13
461,Krasnomayskiy,57.6194,34.4099,21.76,91,100,6.62,RU,2022-01-26 01:48:14
462,Denpasar,-8.65,115.2167,87.46,70,20,8.05,ID,2022-01-26 01:48:15
463,Yulara,-25.2406,130.9889,91.24,46,100,11.5,AU,2022-01-26 01:48:15
464,Baruun-Urt,46.6806,113.2792,-3.32,86,6,5.57,MN,2022-01-26 01:48:16
465,Khartoum,15.5518,32.5324,67.46,19,10,18.25,SD,2022-01-26 01:48:17
466,Nemuro,43.3236,145.575,23.43,73,100,1.03,JP,2022-01-26 01:48:17
467,Boden,65.8252,21.6886,19.4,90,100,3.76,SE,2022-01-26 01:48:18
468,Gualaquiza,-3.4,-78.55,65.05,99,100,1.9,EC,2022-01-26 01:48:19
469,Wang Saphung,17.301,101.7685,72.75,82,0,1.14,TH,2022-01-26 01:48:19
470,Kapuskasing,49.4169,-82.4331,-21.91,75,0,2.3,CA,2022-01-26 01:48:20
471,Guerrero Negro,27.9769,-114.0611,61.5,65,100,9.01,MX,2022-01-26 01:48:21
472,Gonc,48.4667,21.2833,23.99,92,100,1.05,HU,2022-01-26 01:48:21
473,Brigantine,39.4101,-74.3646,35.65,62,20,9.22,US,2022-01-26 01:48:22
474,Bogatyye Saby,56.0102,50.4483,5.65,96,100,7.83,RU,2022-01-26 01:48:23
475,Noshiro,40.2039,140.0242,34.74,95,100,4.79,JP,2022-01-26 01:48:23
476,Pidhorodne,48.5753,35.1068,18.64,97,100,3.98,UA,2022-01-26 01:48:24
477,Fuquay-Varina,35.5843,-78.8,47.43,80,16,9.8,US,2022-01-26 01:48:25
478,Pithoro,25.5167,69.3833,53.11,23,0,4.25,PK,2022-01-26 01:48:25
479,Inhambane,-23.865,35.3833,78.49,89,91,11.21,MZ,2022-01-26 01:48:26
480,Viedma,-40.8135,-62.9967,66.74,59,100,15.79,AR,2022-01-26 01:48:28
481,Ostrovnoy,68.0531,39.5131,17.26,86,22,17.4,RU,2022-01-26 01:48:28
482,Ixtapa,20.7,-105.2,65.66,91,9,1.52,MX,2022-01-26 01:48:29
483,Sacile,45.9541,12.5029,37.81,86,1,3.22,IT,2022-01-26 01:48:31
484,Batagay-Alyta,67.8006,130.4114,-10.03,90,100,2.91,RU,2022-01-26 01:48:31
485,Newport,51.5877,-2.9984,42.51,86,37,3.74,GB,2022-01-26 01:45:27
486,Russkaya Polyana,49.417,31.9201,20.88,96,100,5.61,UA,2022-01-26 01:48:32
487,Benalla,-36.55,145.9833,90.14,28,3,8.46,AU,2022-01-26 01:48:33
488,Oksfjord,70.2396,22.3479,27.52,79,100,11.43,NO,2022-01-26 01:48:34
489,Pundaguitan,6.3711,126.1689,81.37,75,100,7.07,PH,2022-01-26 01:48:34
490,Uige,-7.6087,15.0613,66.69,99,100,2.89,AO,2022-01-26 01:48:35
491,Pudozh,61.8099,36.5345,-1.5,100,100,1.32,RU,2022-01-26 01:48:35
492,Acarau,-2.8856,-40.12,79.83,77,85,11.25,BR,2022-01-26 01:48:36
493,Turukhansk,65.8167,87.9833,-17.52,100,92,6.44,RU,2022-01-26 01:48:37
494,Moerai,-22.4333,-151.3333,80.02,78,100,10.58,PF,2022-01-26 01:48:38
495,Ouadda,8.0777,22.4007,69.1,23,100,6.62,CF,2022-01-26 01:48:38
496,Ribeira Brava,32.65,-17.0667,61.43,70,24,8.25,PT,2022-01-26 01:48:39
497,Zarate,-34.0981,-59.0286,80.31,95,100,4.81,AR,2022-01-26 01:43:51
498,Omsukchan,62.5333,155.8,-25.44,98,98,3.27,RU,2022-01-26 01:48:40
499,Mandera,3.9366,41.867,73.83,29,0,9.48,KE,2022-01-26 01:48:40
500,Vargashi,55.3556,65.8467,2.55,95,87,6.49,RU,2022-01-26 01:49:41
501,Kislyakovskaya,46.4417,39.675,25.07,95,77,5.12,RU,2022-01-26 01:49:41
502,Namatanai,-3.6667,152.4333,85.6,67,79,6.15,PG,2022-01-26 01:49:42
503,Muisne,0.6,-80.0333,73.98,93,100,3.58,EC,2022-01-26 01:49:42
504,Impfondo,1.6381,18.0667,70.23,43,92,1.32,CG,2022-01-26 01:49:43
505,Dawson Creek,55.7666,-120.2362,40.96,48,0,24.16,CA,2022-01-26 01:49:43
506,Ola,59.5833,151.2833,-6.27,81,100,8.66,RU,2022-01-26 01:49:43
507,Seddon,-37.8068,144.8916,97.61,43,0,9.22,AU,2022-01-26 01:49:44
508,Tilichiki,60.4667,166.1,-7.62,93,100,11.59,RU,2022-01-26 01:49:44
509,Uribia,11.7139,-72.266,77.2,75,88,14.43,CO,2022-01-26 01:49:45
510,Tchibanga,-2.85,11.0333,69.22,97,100,1.34,GA,2022-01-26 01:49:45
511,Rabo De Peixe,37.8,-25.5833,57.27,96,40,3.44,PT,2022-01-26 01:49:45
512,Naze,28.3667,129.4833,63.52,63,35,10.94,JP,2022-01-26 01:49:46
513,Rocha,-34.4833,-54.3333,72.27,96,100,5.57,UY,2022-01-26 01:48:26
514,Akdepe,42.0551,59.3788,15.89,76,5,6.87,TM,2022-01-26 01:49:46
515,Haimen,23.1935,116.6142,62.49,81,93,18.03,CN,2022-01-26 01:49:47
516,Huarmey,-10.0681,-78.1522,71.51,82,59,7.27,PE,2022-01-26 01:49:47
517,Aden,12.7794,45.0367,75.04,75,37,8.72,YE,2022-01-26 01:49:48
518,Hofn,64.2539,-15.2082,33.26,55,15,15.79,IS,2022-01-26 01:49:48
519,Tifton,31.4505,-83.5085,51.62,90,100,0.0,US,2022-01-26 01:49:48
520,Pacific Grove,36.6177,-121.9166,58.24,86,0,3.0,US,2022-01-26 01:49:49
521,Mizdah,31.4451,12.9801,36.19,80,6,3.29,LY,2022-01-26 01:49:49
522,Hami,42.8,93.45,21.78,49,6,3.94,CN,2022-01-26 01:49:50
523,Bardiyah,31.7561,25.0865,47.97,69,81,21.23,LY,2022-01-26 01:49:50
524,Carbonia,39.1672,8.5222,43.0,86,0,2.53,IT,2022-01-26 01:49:51
525,Maumere,-8.6199,122.2111,83.68,76,83,11.54,ID,2022-01-26 01:49:51
526,Lima,-12.0432,-77.0282,73.65,70,40,1.99,PE,2022-01-26 01:49:51
527,Porto Novo,6.4965,2.6036,75.02,80,3,3.4,BJ,2022-01-26 01:49:52
528,San Luis,-33.295,-66.3356,77.88,65,62,7.4,AR,2022-01-26 01:47:42
529,Ust-Tsilma,65.441,52.1498,19.56,94,100,7.34,RU,2022-01-26 01:49:52
530,Cajititlan,20.4333,-103.3167,66.94,45,11,5.84,MX,2022-01-26 01:49:53
531,Palmer,42.1584,-72.3287,29.08,61,0,11.5,US,2022-01-26 01:49:53
532,Flinders,-34.5833,150.8552,79.88,71,100,7.83,AU,2022-01-26 01:49:53
533,Luderitz,-26.6481,15.1594,73.0,62,6,21.21,NA,2022-01-26 01:49:54
534,Khandbari,27.3747,87.2039,48.56,73,83,3.29,NP,2022-01-26 01:49:54
535,Netivot,31.4222,34.5886,45.9,66,5,11.65,IL,2022-01-26 01:49:55
536,Berdigestyakh,62.0989,126.6992,-13.7,97,98,6.08,RU,2022-01-26 01:49:55
537,Khagaria,25.5,86.4833,60.03,75,62,4.32,IN,2022-01-26 01:49:56
538,Bodden Town,19.2833,-81.25,78.8,85,20,0.0,KY,2022-01-26 01:49:56
539,Lafia,8.4833,8.5167,72.03,19,7,4.68,NG,2022-01-26 01:49:56
540,Sabzevar,36.2126,57.6819,37.15,32,19,5.35,IR,2022-01-26 01:49:57
541,Am Timan,11.0297,20.2827,72.55,21,92,9.33,TD,2022-01-26 01:49:57
542,Asau,46.4333,26.4,24.28,77,94,7.7,RO,2022-01-26 01:49:58
543,Markova,48.6758,24.4138,26.06,91,100,6.82,UA,2022-01-26 01:49:58
544,Cockburn Town,21.4612,-71.1419,76.96,72,0,9.01,TC,2022-01-26 01:49:59
