City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Ancud,CL,70.43,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
185,Barcelos,PT,53.28,clear sky,41.5388,-8.6151,Hotel Do Terço
186,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
187,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
188,Amarkantak,IN,46.11,clear sky,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
189,Mildura,AU,67.96,clear sky,-34.2,142.15,Mercure Hotel Mildura
191,Ambilobe,MG,74.08,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
193,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
195,Ponta Delgada,PT,61.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
196,Saint George,US,57.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
198,Christchurch,NZ,63.91,few clouds,-43.5333,172.6333,The George
199,Jaguariuna,BR,72.37,light rain,-22.7056,-46.9858,Hotel Matiz Jaguariúna
200,Karratha,AU,80.98,broken clouds,-20.7377,116.8463,ibis Styles Karratha
201,Katsuura,JP,41.18,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
203,Beeville,US,65.62,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
204,Santa Isabel,BR,74.91,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
205,Tucurui,BR,73.33,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
208,Hambantota,LK,77.99,broken clouds,6.1241,81.1185,Bungalow 63
209,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
210,Foz,ES,51.42,overcast clouds,43.5692,-7.2544,Hotel Balcón de San Bartolo
211,San Patricio,US,66.16,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
213,Qesarya,IL,50.31,broken clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
214,Sabang,ID,82.11,few clouds,5.8933,95.3214,Hotel Citra
217,Lashio,MM,45.93,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
218,Augusto Correa,BR,73.69,moderate rain,-1.0217,-46.635,Fazenda Bacuri
219,Tual,ID,83.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
222,Fort Myers Beach,US,59.05,clear sky,26.452,-81.9481,Lani Kai Island Resort
224,Rio Gallegos,AR,59.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
225,Faanui,PF,79.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Carazinho,BR,74.34,overcast clouds,-28.2839,-52.7864,San Remo Hotel
227,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
228,Villa Sandino,NI,87.17,clear sky,12.0483,-84.9936,Salón Rossmary
231,Geraldton,AU,70.21,light rain,-28.7667,114.6,Broadwater Mariner Resort
232,Stromness,GB,40.96,scattered clouds,58.965,-3.296,The Old Smokery
233,Alvaraes,BR,82.27,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
234,Uige,AO,67.42,light rain,-7.6087,15.0613,Hotel Catraio
236,Angoche,MZ,77.99,overcast clouds,-16.2325,39.9086,Guest House HESADA
