City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
152,Garowe,8.4054,48.4845,68.68,72,100,19.42,SO,overcast clouds
153,Airai,-8.9266,125.4092,60.64,93,100,3.42,TL,overcast clouds
154,San Juan De Arama,3.3464,-73.8894,91.15,33,100,6.6,CO,overcast clouds
155,Port-Gentil,-0.7193,8.7815,80.56,89,40,8.05,GA,scattered clouds
156,Cidreira,-30.1811,-50.2056,74.52,56,78,13.35,BR,broken clouds
157,Saint-Pierre,-21.3393,55.4781,78.48,73,41,8.05,RE,scattered clouds
158,Unity,52.4501,-109.1682,23.25,91,14,3.42,CA,few clouds
159,Hamadan,34.7992,48.5146,27.55,79,0,4.61,IR,clear sky
160,Ranfurly,-45.1333,170.1,51.64,74,100,2.98,NZ,overcast clouds
161,Kommunar,59.6206,30.39,26.51,83,100,16.69,RU,light snow
162,Avera,33.194,-82.5271,43.92,25,0,13.62,US,clear sky
163,Constitucion,-35.3333,-72.4167,65.84,74,51,11.23,CL,broken clouds
164,Sao Filipe,14.8961,-24.4956,71.11,71,100,12.57,CV,overcast clouds
165,Camacha,33.0833,-16.3333,61.56,72,0,12.66,PT,clear sky
166,Muli,2.9167,73.5667,81.68,70,91,9.57,MV,overcast clouds
167,Killybegs,54.6333,-8.45,44.31,65,88,10.33,IE,overcast clouds
168,Georgetown,5.4112,100.3354,83.89,89,20,1.99,MY,few clouds
169,Hami,42.8,93.45,20.48,46,0,4.85,CN,clear sky
170,Grimshaw,56.1834,-117.6027,36.01,86,75,5.75,CA,broken clouds
171,Tahe,52.3333,124.7333,-1.68,81,15,7.23,CN,few clouds
172,Tabas,33.5959,56.9244,46.83,27,2,1.63,IR,clear sky
173,Floresta,-8.6011,-38.5686,72.36,85,100,5.91,BR,overcast clouds
174,Leua,48.2156,18.6071,36.21,98,100,11.14,SK,snow
175,Ambon,-3.6954,128.1814,77.14,94,40,4.61,ID,scattered clouds
176,Houston,29.7633,-95.3633,65.05,35,0,1.99,US,clear sky
177,Gornopravdinsk,60.05,69.9,5.34,97,100,3.47,RU,overcast clouds
178,Sembe,1.6481,14.5806,77.14,28,100,0.38,CG,overcast clouds
179,Tahta,26.7693,31.5021,51.19,49,0,5.95,EG,clear sky
180,Sabha,27.0377,14.4283,50.5,29,53,7.4,LY,broken clouds
181,Kavaratti,10.5669,72.642,80.69,74,75,6.15,IN,broken clouds
182,Ancud,-41.8697,-73.8203,70.43,76,37,12.37,CL,scattered clouds
183,Kochubey,44.3861,46.5825,36.0,85,99,12.03,RU,overcast clouds
184,Nioro,13.35,-15.75,86.99,14,84,5.88,GM,broken clouds
185,Barcelos,41.5388,-8.6151,53.28,58,1,5.35,PT,clear sky
186,Bredasdorp,-34.5322,20.0403,66.27,71,5,11.68,ZA,clear sky
187,Bambous Virieux,-20.3428,57.7575,80.85,78,40,8.05,MU,scattered clouds
188,Amarkantak,22.6667,81.75,46.11,33,0,3.51,IN,clear sky
189,Mildura,-34.2,142.15,67.96,77,0,10.36,AU,clear sky
190,Wawa,9.9022,4.4192,80.85,20,37,5.1,NG,scattered clouds
